OBJECTID,Nombre del establecimiento educativo,Id del establecimiento educativo,NIT,Nombre de la sede educativa,Id de la sede educativa,Código de planta física,Fecha de la información,Dirección,Barrio,Teléfono,Email,Página web,Sector,Naturaleza Jurídica,Clase,Orden de la sede,Estado,Régimen y Categoría de Costos,Calendario,Género,Estrato,Zona,Nombre de la Localidad,Nombre UPL,Código UPL,Código UPZ,Nombre de la UPZ,Código Postal,Sector Censal,Especialidad para la Media,Carácter para la Media,Énfasis para el cáracter académico de la Media,Tipo de Discapacidad,Talentos o Capacidades Excepcionales,Grupos étnicos,Bilingue,Forma,coord_x,coord_y
2862,LICEO OCTAVIO PAZ,311001097674,521735951,LICEO OCTAVIO PAZ,311001097674,0,2024/12/31,KR 88 I BIS # 58 A - 14 SUR,LA PORTADA,7837665  --  4327142,liceoctaviopaz@gmail.com,www.liceooctaviopaz.edu.co,No Oficial,Persona Natural,Privado,A,Antiguo Activo,LIBERTAD VIGILADA,A,Mixto,Estrato 2,URBANA,Bosa,EDEN,16,84,BOSA OCCIDENTAL,110711,4593,Académica,Académico,,-FISICA-,-DOBLE EXCEPCIONALIDAD-,INDIGENAS,Sin Información,,"-74,19078000039718","4,628290000407819"
2863,LICEO MI INFANCIA CREATIVA,311001102317,395566631,LICEO MI INFANCIA CREATIVA,311001102317,0,2024/12/31,TV 79 B # 68 C - 34 SUR,PIAMONTE I ETAPA,7771235 -- 3005474475  --  7042253,miinfanciacreativa@hotmail.com,www.liceomiinfanciacreativa.edu.co,No Oficial,Persona Natural,Privado,A,Antiguo Activo,LIBERTAD VIGILADA,A,Mixto,Estrato 2,URBANA,Bosa,BOSA,17,85,BOSA CENTRAL,110741,4524,Sin información,Sin información,,-INTELECTUAL-,,,Sin Información,,"-74,19022999967795","4,604390000474652"
2864,COLEGIO COLSUBSIDIO CHICALA,311001102783,8600073361,COLEGIO COLSUBSIDIO CHICALA,311001102783,0,2024/12/31,KR 87 # 53 C - 26 SUR,CHICALA,7495887/91/94/95/96  --  7495902/03/04/05,colegio.chicala@colsubsidio.com  --  german.roa@colsubsidio.edu.co,www.colsubsidio.com,No Oficial,Caja de Compensación,Privado,A,Antiguo Activo,LIBERTAD REGULADA,A,Mixto,Sin estrato,URBANA,Bosa,EDEN,16,84,BOSA OCCIDENTAL,110711,4605,Académica,Académico,,AUDITIVA-FISICA-INTELECTUAL-MULTIPLE-,"-TALENTO TECNOLOGICO, TALENTO EN CIENCIAS NATURALES, BASICAS O TECNOLOGIA-",INDIGENAS-NEGRITUDES,Sin Información,,"-74,18101999976965","4,6252499998579975"
2865,COLEGIO FRANCISCO I,311001104832,9008285666,COLEGIO FRANCISCO I,311001104832,0,2024/12/31,KR 87 BIS # 49 - 53 SUR,BETANIA,4032793  --  3006600,creadores216@hotmail.com  --  colegiofrancisco1@outlook.com,www.colegiofranciscoprimero.edu.co,No Oficial,Persona Natural,Privado,A,Antiguo Activo,LIBERTAD VIGILADA,A,Mixto,Estrato 2,URBANA,Bosa,EDEN,16,84,BOSA OCCIDENTAL,110711,4628,Académica,Académico,,AUDITIVA-FISICA-INTELECTUAL-MULTIPLE-PSICOSOCIAL-,-TALENTO EXCEPCIONAL EN ARTES O LETRAS-,NEGRITUDES,Sin Información,,"-74,17795000009964","4,62846000016797"
2803,COLEGIO LUIS LOPEZ DE MESA (IED),111102000265,8300367756,LUIS LOPEZ DE MESA,111102000265,712,2024/12/31,CL 65 H SUR # 78 A - 03,LA ESTACION BOSA,7750440  --  7794793,cedluislopezdemes7@educacionbogota.edu.co  --  lzamora@educacionbogota.edu.co,www.luislopezied.edu.co,Oficial,Oficial,Distrital,A,Antiguo Activo,,A,Mixto,Estrato 2,URBANA,Bosa,BOSA,17,85,BOSA CENTRAL,110741,4521,Otra,Técnico,,AUDITIVA-FISICA-INTELECTUAL-MENTAL/PSICOSOCIAL-MULTIPLE-SORDOCEGUERA-VISUAL,"CAPACIDADES EXCEPCIONALES-TALENTO EXCEPCIONAL EN ACTIVIDAD FISICA, EJERCICIO Y DEPORTE-TALENTO EXCEPCIONAL EN ARTES Y LETRAS-TALENTO EXCEPCIONAL EN CIENCIAS NATURALES O BASICAS-TALENTO EXCEPCIONAL EN LIDERAZGO SOCIAL Y EMPRENDIMIENTO-TALENTO EXCEPCIONAL",AFRODESCENDIENTES-INDIGENAS-NEGRITUDES-RAIZALES,Sin Información,,"-74,18584000025812","4,60060999999083"
2805,COLEGIO PABLO DE TARSO (IED),111102000281,8300261367,PAULO VI,111102000907,725,2024/12/31,CL 71 BIS SUR # 77 I - 21,NUEVA GRANADA,7803394,cedpablodetarso7@educacionbogota.edu.co  --  elozanom@educacionbogota.edu.co,www.colegiopablodetarso.jimdo.com,Oficial,Oficial,Distrital,B,Antiguo Activo,,A,Mixto,Estrato 2,URBANA,Bosa,BOSA,17,85,BOSA CENTRAL,110741,4527,Sin información,Sin información,,FISICA-INTELECTUAL-MULTIPLE,"CAPACIDADES EXCEPCIONALES-TALENTO EXCEPCIONAL EN ACTIVIDAD FISICA, EJERCICIO Y DEPORTE",AFRODESCENDIENTES-INDIGENAS,Sin Información,,"-74,19437999979661","4,599529999747727"
2808,COLEGIO FERNANDO MAZUERA VILLEGAS (IED),111102000753,8605323371,GONZALO JIMENEZ DE QUESADA,111102000559,715,2024/12/31,DG 66 SUR # 80 C - 20,JIMENEZ DE QUESADA,7192567  --  7752163,coldifernandomazue7@educacionbogota.edu.co  --  fangel@educacionbogota.edu.co,,Oficial,Oficial,Distrital,B,Antiguo Activo,,A,Mixto,Estrato 2,URBANA,Bosa,BOSA,17,85,BOSA CENTRAL,110731,4586,Sin información,Sin información,,AUDITIVA-FISICA-INTELECTUAL-MULTIPLE-VISUAL,"TALENTO EXCEPCIONAL EN ACTIVIDAD FISICA, EJERCICIO Y DEPORTE",AFRODESCENDIENTES-INDIGENAS,Sin Información,,"-74,18852999998653","4,606240000423092"
2809,COLEGIO FERNANDO MAZUERA VILLEGAS (IED),111102000753,8605323371,HUMBERTO VALENCIA,111102000583,717,2024/12/31,KR 81 B # 71 F - 15 SUR,PASO ANCHO,7775854/49,coldifernandomazue7@educacionbogota.edu.co  --  fangel@educacionbogota.edu.co,,Oficial,Oficial,Distrital,C,Antiguo Activo,,A,Mixto,Estrato 2,URBANA,Bosa,BOSA,17,85,BOSA CENTRAL,110731,4528,Sin información,Sin información,,AUDITIVA-FISICA-INTELECTUAL-MULTIPLE,"TALENTO EXCEPCIONAL EN ACTIVIDAD FISICA, EJERCICIO Y DEPORTE",AFRODESCENDIENTES-NEGRITUDES,Sin Información,,"-74,195899999563","4,6107400004104475"
2810,COLEGIO FERNANDO MAZUERA VILLEGAS (IED),111102000753,8605323371,NUEVA ISLANDIA,111001094862,711,2024/12/31,DG 72 C SUR # 83 A - 21,ISLANDIA,7790545  --  7790353,coldifernandomazue7@educacionbogota.edu.co  --  fangel@educacionbogota.edu.co,,Oficial,Oficial,Distrital,D,Antiguo Activo,,A,Mixto,Estrato 2,URBANA,Bosa,BOSA,17,85,BOSA CENTRAL,110721,4528,Sin información,Sin información,,INTELECTUAL-MENTAL/PSICOSOCIAL-MULTIPLE,"CAPACIDADES EXCEPCIONALES-TALENTO EXCEPCIONAL EN ACTIVIDAD FISICA, EJERCICIO Y DEPORTE-TALENTO EXCEPCIONAL EN ARTES Y LETRAS",AFRODESCENDIENTES-NEGRITUDES,Sin Información,,"-74,19644000023649","4,615050000587571"
2811,COLEGIO FERNANDO MAZUERA VILLEGAS (IED),111102000753,8605323371,SEDE E,111001110329,0,2024/12/31,TV 80 B # 65 F - 80 SUR,JIMENEZ DE QUESADA,7755196  --  7753195  --  7801812  --  7802529  --  7802229,coldifernandomazue7@educacionbogota.edu.co  --  fangel@educacionbogota.edu.co,,Oficial,Oficial,Distrital,E,Antiguo Activo,,A,Mixto,Estrato 2,URBANA,Bosa,BOSA,17,85,BOSA CENTRAL,110731,4586,Sin información,Sin información,,INTELECTUAL-MULTIPLE,"TALENTO EXCEPCIONAL EN ACTIVIDAD FISICA, EJERCICIO Y DEPORTE-TALENTO EXCEPCIONAL EN ARTES Y LETRAS-TALENTO EXCEPCIONAL EN LIDERAZGO SOCIAL Y EMPRENDIMIENTO-TALENTO EXCEPCIONAL EN TECNOLOGIA",INDIGENAS,Sin Información,,"-74,18726999961282","4,606459999990308"
2812,COLEGIO PORFIRIO BARBA JACOB (IED),111102000958,8300216000,PORFIRIO BARBA JACOB,111102000958,727,2024/12/31,CL 70 A SUR # 81 G - 13,PASO ANCHO,7782103,cedporfiriobarbaj7@educacionbogota.edu.co  --  coramirez@educacionbogota.edu.co,www.iedporfirio.edu.co,Oficial,Oficial,Distrital,A,Antiguo Activo,,A,Mixto,Estrato 2,URBANA,Bosa,BOSA,17,85,BOSA CENTRAL,110731,4536,Académica,Académico,,AUDITIVA-FISICA-INTELECTUAL-MENTAL/PSICOSOCIAL-MULTIPLE-VISUAL,"CAPACIDADES EXCEPCIONALES-TALENTO EXCEPCIONAL EN ACTIVIDAD FISICA, EJERCICIO Y DEPORTE-TALENTO EXCEPCIONAL EN ARTES Y LETRAS-TALENTO EXCEPCIONAL EN CIENCIAS SOCIALES O HUMANAS-TALENTO EXCEPCIONAL EN LIDERAZGO SOCIAL Y EMPRENDIMIENTO-TALENTO EXCEPCIONAL E",AFRODESCENDIENTES-INDIGENAS-NEGRITUDES,Sin Información,,"-74,19340999985114","4,611790000038157"
2815,COLEGIO VILLAS DEL PROGRESO (IED),211001076958,8300576615,SEDE C,111001110078,764,2024/12/31,KR 102 A # 56 F - 34 SUR,CAÑAVERALEJO,7330961 EXTS 111-116,escdivillasdelprog7@educacionbogota.edu.co  --  rectoriavillas@gmail.com  --  ljforero@educacionbogota.edu.co,,Oficial,Oficial,Distrital,B,Antiguo Activo,,A,Mixto,Estrato 1,URBANA,Bosa,PORVENIR,15,86,EL PORVENIR,110711,4634,Académica,Académico,,AUDITIVA-FISICA-INTELECTUAL-MENTAL/PSICOSOCIAL-MULTIPLE-SORDOCEGUERA-VISUAL,"CAPACIDADES EXCEPCIONALES-TALENTO EXCEPCIONAL EN ACTIVIDAD FISICA, EJERCICIO Y DEPORTE-TALENTO EXCEPCIONAL EN ARTES Y LETRAS-TALENTO EXCEPCIONAL EN LIDERAZGO SOCIAL Y EMPRENDIMIENTO-TALENTO EXCEPCIONAL EN TECNOLOGIA",AFRODESCENDIENTES-INDIGENAS-NEGRITUDES-RAIZALES,Sin Información,,"-74,19506000021218","4,640969999707432"
2820,COLEGIO BOSANOVA (IED),211102000995,8300703804,BOSANOVA,211102000995,734,2024/12/31,CL 59 B SUR # 87 B - 02,BOSA NOVA EL PORVENIR,7839623/25,cedbosanova7@educacionbogota.edu.co  --  idedios@educacionbogota.edu.co,,Oficial,Oficial,Distrital,A,Antiguo Activo,,A,Mixto,Estrato 2,URBANA,Bosa,EDEN,16,84,BOSA OCCIDENTAL,110721,4526,Académica,Académico,,AUDITIVA-FISICA-INTELECTUAL-MENTAL/PSICOSOCIAL-MULTIPLE-SORDOCEGUERA,"TALENTO EXCEPCIONAL EN ACTIVIDAD FISICA, EJERCICIO Y DEPORTE-TALENTO EXCEPCIONAL EN LIDERAZGO SOCIAL Y EMPRENDIMIENTO-TALENTO EXCEPCIONAL EN TECNOLOGIA",AFRODESCENDIENTES-INDIGENAS-NEGRITUDES-RAIZALES,Sin Información,,"-74,18848999980355","4,622550000297636"
2821,COLEGIO BOSANOVA (IED),211102000995,8300703804,SEDE B,111001110647,0,2024/12/31,CL 63 SUR # 80 H - 35,BOSA,7750531,cedbosanova7@educacionbogota.edu.co  --  idedios@educacionbogota.edu.co,,Oficial,Oficial,Distrital,B,Antiguo Activo,,A,Mixto,Estrato 2,URBANA,Bosa,BOSA,17,85,BOSA CENTRAL,110731,4522,Académica,Académico,,-INTELECTUAL-MULTIPLE-PSICOSOCIAL-SISTEMICA-SORDOCEGUERA-,"-TALENTO EXCEPCIONAL EN ACTIVIDAD FISICA, EJERCICIO Y DEPORTE-TALENTO EXCEPCIONAL EN ARTES O LETRAS-TALENTO EXCEPCIONAL EN CIENCIAS NATURALES O BASICAS-",INDIGENAS-NEGRITUDES-RAIZALES,Sin Información,,"-74,18501000005472","4,6095100004079095"
2822,LICEO ANTONIO BOLAÑOS,311001000361,396270161,LICEO ANTONIO BOLAÑOS,311001000361,0,2024/12/31,CL 56 F SUR # 71 F - 33,OLARTE,7771351,liceoantoniobolanos@gmail.com,,No Oficial,Persona Natural,Privado,A,Antiguo Activo,LIBERTAD VIGILADA,A,Mixto,Estrato 2,URBANA,Bosa,BOSA,17,49,APOGEO,110741,4538,Sin información,Sin información,,,,,Sin Información,,"-74,16382000014374","4,600260000456238"
2824,LICEO CULTURAL LUIS ENRIQUE OSORIO,311001000921,9008993552,LICEO CULTURAL LUIS ENRIQUE OSORIO,311001000921,0,2024/12/31,CL 67 SUR # 87 P - 16,CHICO SUR,7837537 -- 7835713,liceoleo1@gmail.com,www.liceoleo.com,No Oficial,Persona Natural,Privado,A,Antiguo Activo,LIBERTAD VIGILADA,A,Mixto,Estrato 2,URBANA,Bosa,EDEN,16,84,BOSA OCCIDENTAL,110721,4595,Comercial,Técnico,,-INTELECTUAL-SISTEMICA-OTRA,-TALENTO EN CIENCIAS SOCIALES O HUMANAS-,INDIGENAS,Sin Información,,"-74,19444000007108","4,623989999851449"
2826,INSTITUTO GERARDO VALENCIA CANO,311001001014,8001109047,INSTITUTO GERARDO VALENCIA CANO,311001001014,0,2024/12/31,KR 77 J # 65 I - 22 SUR,SAN PABLO II SECTOR,7755223 -- 7809976,valenciacano68@yahoo.com,,No Oficial,Persona Natural,Privado,A,Antiguo Activo,LIBERTAD VIGILADA,A,Mixto,Estrato 2,URBANA,Bosa,BOSA,17,85,BOSA CENTRAL,110741,4521,Sin información,Sin información,,-INTELECTUAL-MULTIPLE-,,,Sin Información,,"-74,18624000029119","4,598140000340931"
2827,LICEO CIUDAD CAPITAL,311001032637,8001625892,LICEO CIUDAD CAPITAL,311001032637,0,2024/12/31,CL 65 SUR # 100 A - 51,SAN BERNARDINO XVI,7230433 -- 7237375,luzma74@hotmail.com  --  liceociudadcapital@yahoo.com  --  susanagonzalez10@gmail.com,www.liceociudadcapital.edu.co,No Oficial,Sociedad,Privado,A,Antiguo Activo,LIBERTAD VIGILADA,A,Mixto,Sin estrato,URBANA,Bosa,PORVENIR,15,87,TINTAL SUR,110721,4638,Académica,Académico,,-FISICA-,"CAPACIDADES EXCEPCIONALES-TALENTO EN CIENCIAS SOCIALES O HUMANAS-TALENTO EXCEPCIONAL EN ACTIVIDAD FISICA, EJERCICIO Y DEPORTE-OTRO",INDIGENAS-NEGRITUDES,Sin Información,,"-74,20111000003881","4,6375500005222685"
2828,COLEGIO BILINGÜE REINO UNIDO,311001035300,416773902,COLEGIO BILINGÜE REINO UNIDO,311001035300,0,2024/12/31,KR 70 A # 56 A - 04 SUR,VILLA DEL RIO,2047787 -- 2049115 -- 7105969 -- 2705594,bilinguereinounido@hotmail.com  --  ocaceres70@hotmail.com  --  jennys_8915@hotmail.com,www.colreinounido.com  --  www.colegiobilinguereinounido.edu.co,No Oficial,Persona Natural,Privado,A,Antiguo Activo,LIBERTAD REGULADA,A,Mixto,Estrato 3,URBANA,Bosa,KENNEDY,18,49,APOGEO,110741,4546,Académica,Académico,,-FISICA-,"-TALENTO EN CIENCIAS SOCIALES O HUMANAS-TALENTO EXCEPCIONAL EN ACTIVIDAD FISICA, EJERCICIO Y DEPORTE-",,Bilingüe,,"-74,16132000038614","4,601140000340034"
2833,INSTITUTO ALVARO MUTIS,311001042829,8300828323,INSTITUTO ALVARO MUTIS,311001042829,0,2024/12/31,KR 79 F # 58 I - 75 SUR,JOSE ANTONIO GALAN,7191827,iamutis@hotmail.com  --  ulnacho10@hotmail.com,www.institutoalvaromutis.jimdo.com,No Oficial,Persona Natural,Privado,A,Antiguo Activo,LIBERTAD VIGILADA,A,Mixto,Estrato 2,URBANA,Bosa,BOSA,17,85,BOSA CENTRAL,110741,4569,Académica,Académico,COMERCIAL,,,,Sin Información,,"-74,17931000003246","4,609340000582237"
2835,COLEGIO MIGUEL ANGEL ASTURIAS,311001046239,9001364826,COLEGIO MIGUEL ANGEL ASTURIAS,311001046239,0,2024/12/31,KR 78 D # 59 A - 26 SUR,LA ESTACION,7195283 -- 7750454,miguelasturias@hotmail.com  --  coordinacion@cmaa.edu.co,http://miguelangelasturias.edu.gt  --  www.COLEGIOMIGUELANGELASTURIAS.EDU.CO,No Oficial,Sociedad,Privado,A,Antiguo Activo,LIBERTAD REGULADA,A,Mixto,Estrato 2,URBANA,Bosa,BOSA,17,85,BOSA CENTRAL,110741,4553,Académica,Académico,,-INTELECTUAL-,-OTRO,,Sin Información,,"-74,18029000002367","4,603560000231487"
2837,COLEGIO JOSE ORTEGA Y GASSET,311001065098,9000308808,COLEGIO JOSE ORTEGA Y GASSET,311001065098,0,2024/12/31,CL 64 SUR # 81 - 18 -- CL 84 SUR # 81 - 09,ANTONIA SANTOS,7782589 -- 7781617 -- 5970588,colegiojoseortegaygasset@hotmail.com,,No Oficial,Persona Natural,Privado,A,Antiguo Activo,LIBERTAD REGULADA,A,Mixto,Estrato 2,URBANA,Bosa,BOSA,17,85,BOSA CENTRAL,110731,4570,Académica,Académico,COMERCIAL,-PSICOSOCIAL-,,INDIGENAS,Sin Información,,"-74,18659000009556","4,610940000544455"
2870,LICEO PEDAGOGICO FORJADORES DEL FUTURO,311001109443,523075894,LICEO PEDAGOGICO FORJADORES DEL FUTURO,311001109443,0,2024/12/31,CL 67 SUR # 91 - 89,LAS MARGARITAS,5707508,liceoforjadoresdelfuturo13@hotmail.com,www.liceoforajdoresdelfuturo.com,No Oficial,Persona Natural,Privado,A,Antiguo Activo,LIBERTAD VIGILADA,A,Mixto,Estrato 2,URBANA,Bosa,PORVENIR,15,87,TINTAL SUR,110721,4526,Sin información,Sin información,,,"-TALENTO EXCEPCIONAL EN ACTIVIDAD FISICA, EJERCICIO Y DEPORTE-",INDIGENAS,Sin Información,,"-74,19719000007393","4,6293000004903675"
2872,CENTRO EDUCATIVO FORMAL PARA ADULTOS LOS SAUCES,311001109681,8300568932,CENTRO EDUCATIVO FORMAL PARA ADULTOS LOS SAUCES,311001109681,0,2024/12/31,KR 88 I # 51 C - 10/15 SUR,BRASIL,7838388 EXT 133  --  7859838,rectoria@cefas.com.co,www.cefas.edu.co,No Oficial,Persona Natural,Privado,A,Antiguo Activo,LIBERTAD REGULADA,A,Mixto,Estrato 2,URBANA,Bosa,EDEN,16,84,BOSA OCCIDENTAL,110711,4545,Académica,Académico,,-INTELECTUAL-,,,Sin Información,,"-74,18251000029711","4,630780000081622"
2925,COLEGIO SAN JOSE (IED),111001013161,8001800192,EL DESCANSO,111001033961,821,2024/12/31,KR 78 N BIS # 45 - 60 SUR,PASTRANA,4523023 -- 4523296 -- 4543296,cedsanjose8@educacionbogota.edu.co,,Oficial,Oficial,Distrital,B,Antiguo Activo,,A,Mixto,Estrato 3,URBANA,Kennedy,BOSA,17,47,KENNEDY CENTRAL,110861,4532,Sin información,Sin información,,FISICA-INTELECTUAL-MENTAL/PSICOSOCIAL-MULTIPLE,"CAPACIDADES EXCEPCIONALES-TALENTO EXCEPCIONAL EN ACTIVIDAD FISICA, EJERCICIO Y DEPORTE-TALENTO EXCEPCIONAL EN ARTES Y LETRAS-TALENTO EXCEPCIONAL EN CIENCIAS SOCIALES O HUMANAS",AFRODESCENDIENTES-INDIGENAS,Sin Información,,"-74,16573999994321","4,6165200005577605"
2878,COLEGIO GIMNASIO SABIDURIA DEL FUTURO,311001109991,9008644109,COLEGIO GIMNASIO SABIDURIA DEL FUTURO,311001109991,0,2024/12/31,KR 97 # 73 - 29/33/37 SUR  --  KR 97 C # 73 - 28/32/36 SUR,SAN BERNARDINO XIX,4839379  --  3938385,gimnasiosabiduriadelfuturo@hotmail.com,,No Oficial,Persona Natural,Privado,A,Antiguo Activo,LIBERTAD REGULADA,A,Mixto,Estrato 2,URBANA,Bosa,PORVENIR,15,87,TINTAL SUR,110721,0,Sin información,Sin información,,-INTELECTUAL-,"-TALENTO EXCEPCIONAL EN ACTIVIDAD FISICA, EJERCICIO Y DEPORTE-TALENTO EXCEPCIONAL EN ARTES O LETRAS-",,Sin Información,,"-74,20453999955892","4,631350000586591"
2880,LICEO CENTRAL AMERICAS,311001110662,794550293,LICEO CENTRAL AMERICAS,311001110662,0,2024/12/31,CL 49 A SUR # 87 J - 14,BRASILIA,3142686523  --  7236365,liceocentralamericas@hotmail.com,,No Oficial,Persona Natural,Privado,A,Antiguo Activo,LIBERTAD REGULADA,A,Mixto,Estrato 2,URBANA,Bosa,EDEN,16,84,BOSA OCCIDENTAL,110711,4545,Académica,Académico,,AUDITIVA-FISICA-INTELECTUAL-MULTIPLE-,,NEGRITUDES,Sin Información,,"-74,1783700002242","4,630500000372243"
2882,COLEGIO SUPERIOR PALERMO,311001800103,800100272,COLEGIO SUPERIOR PALERMO,311001800103,0,2024/12/31,CL 71 A SUR # 80 - 52,EL RETAZO,3103271326  --  3016716817,colegiosuperiorpalermobosa@gmail.com,,No Oficial,Persona Natural,Privado,A,Antiguo Activo,LIBERTAD VIGILADA,A,Mixto,Estrato 2,URBANA,Bosa,BOSA,17,85,BOSA CENTRAL,110741,4528,Académica,Académico,,-INTELECTUAL-,,INDIGENAS-NEGRITUDES,Sin Información,,"-74,19452999958445","4,6059899999368445"
2883,COLEGIO INNOVAR,311001800537,9011970108,COLEGIO INNOVAR,311001800537,0,2024/12/31,CL 65 J SUR # 78 J - 37,SAN PABLO I SECTOR,3108089921  --  3124851088,bachilleratovirtualinnovar@gmail.com  --  gestoriabachilleratoinnovar@gmail.com,,No Oficial,Sociedad,Privado,A,Antiguo Activo,LIBERTAD VIGILADA,A,Mixto,Estrato 2,URBANA,Bosa,BOSA,17,85,BOSA CENTRAL,110741,4524,Académica,Académico,,-FISICA-PSICOSOCIAL-SORDOCEGUERA-VOZ Y HABLA-,"-TALENTO EXCEPCIONAL EN ACTIVIDAD FISICA, EJERCICIO Y DEPORTE-",INDIGENAS-NEGRITUDES,Sin Información,,"-74,18706000044885","4,604100000186861"
2885,COLEGIO EN-CONEXION CHICALA,311001801020,8600073361,COLEGIO EN-CONEXION CHICALA,311001801020,0,2024/12/31,KR 87 # 53 C -26 SUR,CHICALA,3232792316 - 6012293593 - 6012281914,bachillerato.adultos@colsubsidio.com,www.colsubsidio.com,No Oficial,Caja de Compensación,Privado,A,Antiguo Activo,LIBERTAD VIGILADA,A,Mixto,Sin estrato,URBANA,Bosa,EDEN,16,84,BOSA OCCIDENTAL,110711,4605,Académica,Académico,,,,,Sin Información,,"-74,18101999976965","4,6252499998579975"
2886,LICEO MODERNO SAN CAYETANO,311001801208,523847147,LICEO MODERNO SAN CAYETANO,311001801208,0,2024/12/31,KR 87 M # 74 - 06 SUR  --  KR 87 M # 73 B - 70 SUR,EL REMANSO I,6018142114  --  3206203546,liceomodernosancayetano@hotmail.com,,No Oficial,Persona Natural,Privado,A,Nuevo Activo,,A,Mixto,No indica estrato,URBANA,Bosa,EDEN,16,84,BOSA OCCIDENTAL,110721,4625,Sin información,Sin información,,,,,Sin Información,,"-74,20097000029672","4,620390000405224"
2887,COLEGIO CLARETIANO EL LIBERTADOR,311102000086,9003690167,COLEGIO CLARETIANO EL LIBERTADOR,311102000086,0,2024/12/31,CL 61 SUR # 80 H - 40,S.C. BOSA,7751327 -- 7750289,colibertador@hotmail.com  --  claretianolibertador@gmail.com,www.colegioellibertador.edu.co  --  www.colegioclaretianoellibertador.edu.co,No Oficial,Comunidad Religiosa,Privado,A,Antiguo Activo,LIBERTAD REGULADA,A,Mixto,Estrato 2,URBANA,Bosa,BOSA,17,85,BOSA CENTRAL,110731,4522,Académica,Académico,MATEMATICAS - INGLES,,,INDIGENAS,Sin Información,,"-74,18431999959343","4,610109999888926"
2889,COLEGIO INMACULADO CORAZON DE MARIA,311102000132,8600219749,COLEGIO INMACULADO CORAZON DE MARIA,311102000132,0,2024/12/31,CL 65 SUR # 80 I - 11,JIMENEZ DE QUESADA,5756619/654,auxiliarincodema@gmail.com,www.incodema.edu.co,No Oficial,Comunidad Religiosa,Privado,A,Antiguo Activo,LIBERTAD REGULADA,A,Mixto,Estrato 2,URBANA,Bosa,BOSA,17,85,BOSA CENTRAL,110731,4524,Académica,Académico,"CIENCIAS NATURALES Y SOCIALES, FISICA, QUIMICA, INGLES",,-OTRO-,,Sin Información,,"-74,18642000021624","4,610020000536326"
2890,COLEGIO CLARETIANO,311102000141,8002317903,COLEGIO CLARETIANO,311102000141,0,2024/12/31,CL 60 SUR # 80 K - 02,EL LIMONAR,7956630  --  7829059 - 7829318 - 7432959 - 7433868,rectoria@claretiano.edu.co  --  jomaflo62@hotmail.com  --  administracion@claretiano.edu.co  --  secretaria@claretiano.edu.co,www.claretiano.edu.co,No Oficial,Comunidad Religiosa,Privado,A,Antiguo Activo,LIBERTAD REGULADA,A,Mixto,Estrato 2,URBANA,Bosa,BOSA,17,85,BOSA CENTRAL,110731,4522,Académica,Académico,,-FISICA-MULTIPLE-,CAPACIDADES EXCEPCIONALES-TALENTO EN CIENCIAS SOCIALES O HUMANAS-,INDIGENAS-NEGRITUDES,Sin Información,,"-74,18470000043332","4,611819999748859"
2891,LICEO DIVINO NIÑO JESUS,311102000779,8000040870,LICEO DIVINO NIÑO JESUS,311102000779,0,2024/12/31,TV 80 B # 65 I - 46 SUR,JIMENEZ DE QUESADA,7755110 -- 7192330 -- 7801120,liceodnj@gmail.com,www.liceodnj.com  --  www.liceodnj.edu.co,No Oficial,Sociedad,Privado,A,Antiguo Activo,LIBERTAD VIGILADA,A,Mixto,Estrato 2,URBANA,Bosa,BOSA,17,85,BOSA CENTRAL,110731,4586,Sin información,Sin información,,-MULTIPLE-,,,Sin Información,,"-74,18775000001185","4,605959999980032"
2892,LICEO ANTONIO DE TOLEDO,311102001007,9007050484,LICEO ANTONIO DE TOLEDO,311102001007,0,2024/12/31,CL 70 SUR # 77 J - 53,NUEVA GRANADA,7786248,rectoria@liceoantoniotoledo.com  --  secacademica@liceoantoniotoledo.com,www.liceoantoniotoledo.com,No Oficial,Persona Natural,Privado,A,Antiguo Activo,LIBERTAD REGULADA,A,Mixto,Estrato 2,URBANA,Bosa,BOSA,17,85,BOSA CENTRAL,110741,4527,Comercial,Técnico,,-FISICA-INTELECTUAL-PSICOSOCIAL-VISUAL-OTRA,-OTRO-,INDIGENAS-RAIZALES,Sin Información,,"-74,1915200001889","4,600350000148318"
2893,INSTITUTO GUIMARC,311102001015,9010383316,INSTITUTO GUIMARC,311102001015,0,2024/12/31,CL 71 C SUR # 77 M - 53  --  KR 78 A # 71 C - 28/34/40 SUR,CARLOS ALBAN HOLGUIN NUEVA GRANADA,7781264 -- 7783919  --  3054971,institutoguimarc2017@gmail.com,www.corporacioneducativaguimarc.org  --  www.institutoguimarc.edu.co,No Oficial,Sociedad,Privado,A,Antiguo Activo,LIBERTAD REGULADA,A,Mixto,Estrato 2,URBANA,Bosa,BOSA,17,85,BOSA CENTRAL,110741,4550,Académica,Académico,,AUDITIVA-INTELECTUAL-,,,Sin Información,,"-74,19575999982092","4,6023000002343295"
